Fecha,Class,Ancho,H.N,H
2024-01-01,period resting,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-01,period rumination,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-01,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-01,period rumination,12,0.4721311475409836,0 days 00:28:19.672000
2024-01-01,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-01,period eating,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-01,period resting,22,0.8655737704918034,0 days 00:51:56.066000
2024-01-01,period rumination,23,0.9049180327868853,0 days 00:54:17.705000
2024-01-01,period resting,22,0.8655737704918034,0 days 00:51:56.066000
2024-01-01,period rumination,13,0.5114754098360657,0 days 00:30:41.311000
2024-01-01,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-01,period rumination,8,0.31475409836065577,0 days 00:18:53.115000
2024-01-01,period resting,23,0.9049180327868853,0 days 00:54:17.705000
2024-01-01,period eating,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-01,period resting,10,0.3934426229508197,0 days 00:23:36.393000
2024-01-01,period rumination,7,0.2754098360655738,0 days 00:16:31.475000
2024-01-01,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-01,period rumination,6,0.2360655737704918,0 days 00:14:09.836000
2024-01-01,period resting,20,0.7868852459016394,0 days 00:47:12.787000
2024-01-01,period eating,50,1.9672131147540985,0 days 01:58:01.967000
2024-01-01,period other,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-01,period eating,11,0.4327868852459017,0 days 00:25:58.033000
2024-01-01,period other,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-01,period eating,24,0.9442622950819672,0 days 00:56:39.344000
2024-01-01,period resting,12,0.4721311475409836,0 days 00:28:19.672000
2024-01-01,period rumination,10,0.3934426229508197,0 days 00:23:36.393000
2024-01-01,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-01,period rumination,10,0.3934426229508197,0 days 00:23:36.393000
2024-01-01,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-01,period eating,60,2.3606557377049184,0 days 02:21:38.361000
2024-01-01,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-01,period rumination,15,0.5901639344262296,0 days 00:35:24.590000
2024-01-01,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-01,period eating,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-01,period other,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-01,period eating,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-01,period resting,10,0.3934426229508197,0 days 00:23:36.393000
2024-01-01,period rumination,6,0.2360655737704918,0 days 00:14:09.836000
2024-01-01,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-01,period rumination,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-01,period resting,4,0.15737704918032788,0 days 00:09:26.557000
2024-01-01,period other,5,0.19672131147540986,0 days 00:11:48.197000
2024-01-01,period resting,10,0.3934426229508197,0 days 00:23:36.393000
2024-01-01,period other,6,0.2360655737704918,0 days 00:14:09.836000
2024-01-01,period eating,55,2.1639344262295084,0 days 02:09:50.164000
2024-01-01,period other,8,0.31475409836065577,0 days 00:18:53.115000
2024-01-01,period resting,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-01,period rumination,17,0.6688524590163935,0 days 00:40:07.869000
2024-01-01,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-01,period rumination,16,0.6295081967213115,0 days 00:37:46.230000
2024-01-01,period resting,14,0.5508196721311476,0 days 00:33:02.951000
2024-01-01,period rumination,10,0.3934426229508197,0 days 00:23:36.393000
2024-01-01,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-01,period rumination,16,0.6295081967213115,0 days 00:37:46.230000
2024-01-01,period eating,8,0.31475409836065577,0 days 00:18:53.115000
2024-01-01,period resting,18,0.7081967213114755,0 days 00:42:29.508000
2024-01-01,period rumination,13,0.5114754098360657,0 days 00:30:41.311000
2024-01-02,period rumination,7,0.2754098360655738,0 days 00:16:31.475000
2024-01-02,period resting,18,0.7081967213114755,0 days 00:42:29.508000
2024-01-02,period rumination,3,0.1180327868852459,0 days 00:07:04.918000
