Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,activity_level,activity_level_2
2024-01-01,0,0.079,0.0,0.41,0.511,1.0,0.0,4.0,2.0,-0.2095279936323654,-1.0251069566633626
2024-01-01,1,0.0,0.0,0.652,0.348,0.0,0.0,1.0,1.0,-0.32721728381846843,-0.4438154757059608
2024-01-01,2,0.0,0.0,0.443,0.557,0.0,0.0,1.0,1.0,-0.24910169349794975,-0.4438154757059608
2024-01-01,3,0.0,0.0,0.462,0.538,0.0,0.0,2.0,2.0,-0.25620311079981506,-0.8876309514119216
2024-01-01,4,0.0,0.0,0.711,0.289,0.0,0.0,1.0,1.0,-0.3492690533347871,-0.4438154757059608
2024-01-01,5,0.039,0.0,0.626,0.334,1.0,0.0,3.0,2.0,-0.303968601598911,-0.8562095988211956
2024-01-01,6,0.036,0.0,0.787,0.177,1.0,0.0,1.0,1.0,-0.3652617132461501,-0.24349676527306777
2024-01-01,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.26127927105763143,0.20031871043289307
2024-01-01,8,0.931,0.069,0.0,0.0,1.0,1.0,0.0,0.0,0.27529305681125693,1.407625643425062
2024-01-01,9,0.951,0.049,0.0,0.0,2.0,2.0,0.0,0.0,0.27123108992614803,2.815251286850124
2024-01-01,10,0.426,0.0,0.472,0.102,1.0,0.0,1.0,1.0,-0.11305342218293093,-0.24349676527306777
2024-01-01,11,0.236,0.0,0.079,0.685,1.0,0.0,2.0,2.0,-0.0316793162942239,-0.6873122409790287
2024-01-01,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.26127927105763143,0.20031871043289307
2024-01-01,13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.26127927105763143,0.20031871043289307
2024-01-01,14,0.252,0.039,0.118,0.59,3.0,1.0,2.0,1.0,-0.01928722797670272,1.1955502307427204
