Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,activity_level,activity_level_2
2024-01-01,0,0.433,0.0,0.567,0.0,2.0,0.0,2.0,0.0,0.22325138508605055,-0.17472467200564945
2024-01-01,1,0.0,0.0,0.495,0.505,0.0,0.0,1.0,1.0,-0.2444955749731897,-0.4366957849534714
2024-01-01,2,0.0,0.0,0.944,0.056,0.0,0.0,1.0,2.0,0.05124106063769136,-0.6829342217758729
2024-01-01,3,0.0,0.0,0.498,0.502,0.0,0.0,1.0,1.0,-0.24251960636109027,-0.4366957849534714
2024-01-01,4,0.0,0.0,0.567,0.433,0.0,0.0,2.0,1.0,-0.1970723282828034,-0.6271531330845411
2024-01-01,5,0.079,0.0,0.921,0.0,1.0,0.0,2.0,0.0,0.11277920433324194,-0.27781968413389446
2024-01-01,6,0.115,0.0,0.61,0.275,1.0,0.0,2.0,1.0,-0.05711679271626466,-0.5240581209562961
2024-01-01,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.40019411527487114,0.10309501212824501
2024-01-01,8,0.961,0.039,0.0,0.0,2.0,1.0,0.0,0.0,0.3814245178727502,1.4332717127590953
2024-01-01,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.40019411527487114,0.10309501212824501
2024-01-01,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.40019411527487114,0.10309501212824501
2024-01-01,11,0.134,0.0,0.157,0.708,1.0,0.0,2.0,1.0,-0.3364737570336638,-0.5240581209562961
2024-01-01,12,0.174,0.0,0.59,0.236,1.0,0.0,1.0,1.0,-0.01301717063350398,-0.3336007728252264
2024-01-01,13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.40019411527487114,0.10309501212824501
2024-01-01,14,0.833,0.157,0.01,0.0,1.0,1.0,1.0,0.0,0.3215137708660148,1.1397193524997804
2024-01-01,15,0.0,0.0,0.187,0.813,0.0,0.0,1.0,1.0,-0.44736168581539765,-0.4366957849534714
2024-01-01,16,0.357,0.079,0.433,0.131,2.0,1.0,1.0,1.0,0.0998831607468415,0.9965759278056239
2024-01-01,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.40019411527487114,0.10309501212824501
2024-01-01,18,0.728,0.193,0.079,0.0,1.0,2.0,1.0,0.0,0.2826552754510911,2.3668010410023856
2024-01-01,19,0.0,0.082,0.197,0.721,0.0,2.0,2.0,1.0,-0.4006399955702998,1.8270102439206692
2024-01-01,20,0.0,0.0,0.551,0.449,0.0,0.0,1.0,2.0,-0.2076108275473337,-0.6829342217758729
2024-01-01,21,0.0,0.0,0.708,0.292,0.0,0.0,1.0,2.0,-0.1042018035141303,-0.6829342217758729
2024-01-01,22,0.0,0.0,0.377,0.623,0.0,0.0,1.0,1.0,-0.32221700704910056,-0.4366957849534714
2024-01-01,23,0.0,0.0,0.41,0.59,0.0,0.0,1.0,1.0,-0.3004813523160068,-0.4366957849534714
2024-01-02,0,0.0,0.0,0.725,0.275,0.0,0.0,1.0,1.0,-0.09300464804556689,-0.4366957849534714
2024-01-02,1,0.039,0.0,0.692,0.269,1.0,0.0,2.0,1.0,-0.0768820468401264,-0.5240581209562961
2024-01-02,2,0.0,0.0,0.718,0.282,0.0,0.0,1.0,1.0,-0.09761524147379885,-0.4366957849534714
2024-01-02,3,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0,-0.2747937603587143,-0.6271531330845411
2024-01-02,4,0.0,0.0,0.879,0.121,0.0,0.0,1.0,1.0,0.0084284073755371,-0.4366957849534714
2024-01-02,5,0.197,0.0,0.256,0.548,1.0,0.0,2.0,1.0,-0.2112522094179205,-0.5240581209562961
2024-01-02,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.08812580806354736,-0.19045734813106974
