Fecha,Hora,period eating,period other,period resting,period rumination
2024-01-01,0,0.0,0.0,0.63,0.37
2024-01-01,1,0.0,0.0,0.59,0.41
2024-01-01,2,0.433,0.0,0.403,0.164
2024-01-01,3,0.0,0.0,0.646,0.354
2024-01-01,4,0.0,0.0,0.525,0.475
2024-01-01,5,0.197,0.0,0.649,0.154
2024-01-01,6,0.036,0.0,0.964,0.0
2024-01-01,7,0.948,0.0,0.052,0.0
2024-01-01,8,0.069,0.0,0.931,0.0
2024-01-01,9,0.961,0.0,0.039,0.0
2024-01-01,10,1.0,0.0,0.0,0.0
2024-01-01,11,0.41,0.039,0.197,0.354
2024-01-01,12,1.0,0.0,0.0,0.0
2024-01-01,13,0.18,0.787,0.033,0.0
2024-01-01,14,0.207,0.0,0.518,0.275
2024-01-01,15,0.108,0.0,0.38,0.511
2024-01-01,16,0.279,0.118,0.328,0.275
2024-01-01,17,0.508,0.492,0.0,0.0
2024-01-01,18,0.0,1.0,0.0,0.0
2024-01-01,19,0.157,0.161,0.446,0.236
2024-01-01,20,0.0,0.0,0.528,0.472
2024-01-01,21,0.833,0.0,0.167,0.0
2024-01-01,22,0.23,0.0,0.118,0.652
2024-01-01,23,0.0,0.0,0.63,0.37
2024-01-02,0,0.528,0.0,0.0,0.472
2024-01-02,1,0.613,0.0,0.157,0.23
2024-01-02,2,0.0,0.0,0.551,0.449
2024-01-02,3,0.0,0.0,0.472,0.528
2024-01-02,4,0.0,0.0,0.59,0.41
2024-01-02,5,0.039,0.157,0.413,0.39
2024-01-02,6,0.0,0.0,1.0,0.0
2024-01-02,7,0.643,0.197,0.161,0.0
2024-01-02,8,0.656,0.305,0.039,0.0
2024-01-02,9,0.0,0.561,0.118,0.321
2024-01-02,10,0.416,0.0,0.118,0.466
2024-01-02,11,0.882,0.118,0.0,0.0
2024-01-02,12,0.118,0.157,0.41,0.315
2024-01-02,13,0.197,0.118,0.685,0.0
2024-01-02,14,0.0,0.0,0.685,0.315
2024-01-02,15,0.813,0.079,0.108,0.0
2024-01-02,16,1.0,0.0,0.0,0.0
2024-01-02,17,0.744,0.256,0.0,0.0
2024-01-02,18,0.0,0.885,0.115,0.0
2024-01-02,19,0.0,0.0,0.174,0.826
2024-01-02,20,0.63,0.0,0.262,0.108
2024-01-02,21,0.0,0.0,0.4,0.6
2024-01-02,22,0.18,0.0,0.19,0.63
2024-01-02,23,1.0,0.0,0.0,0.0
2024-01-03,0,0.961,0.0,0.039,0.0
2024-01-03,1,0.102,0.0,0.466,0.433
2024-01-03,2,0.0,0.0,0.725,0.275
2024-01-03,3,0.0,0.0,0.541,0.459
2024-01-03,4,0.0,0.0,0.669,0.331
2024-01-03,5,0.0,0.157,0.492,0.351
2024-01-03,6,0.0,0.0,1.0,0.0
2024-01-03,7,0.367,0.039,0.593,0.0
2024-01-03,8,1.0,0.0,0.0,0.0
2024-01-03,9,1.0,0.0,0.0,0.0
2024-01-03,10,0.702,0.118,0.18,0.0
2024-01-03,11,0.118,0.0,0.016,0.866
2024-01-03,12,0.551,0.236,0.213,0.0
2024-01-03,13,0.157,0.0,0.607,0.236
2024-01-03,14,0.0,0.0,0.4,0.6
2024-01-03,15,0.734,0.079,0.0,0.187
2024-01-03,16,0.643,0.357,0.0,0.0
2024-01-03,17,0.0,1.0,0.0,0.0
2024-01-03,18,0.0,0.885,0.115,0.0
2024-01-03,19,0.0,0.0,0.003,0.997
2024-01-03,20,0.0,0.0,0.59,0.41
2024-01-03,21,0.833,0.0,0.0,0.167
2024-01-03,22,0.269,0.197,0.118,0.416
2024-01-03,23,0.354,0.0,0.275,0.37
2024-01-04,0,0.0,0.0,0.37,0.63
2024-01-04,1,0.0,0.0,0.062,0.938
2024-01-04,2,0.207,0.0,0.0,0.793
2024-01-04,3,0.58,0.0,0.197,0.223
2024-01-04,4,0.0,0.0,0.239,0.761
2024-01-04,5,0.039,0.079,0.449,0.433
2024-01-04,6,0.0,0.0,0.295,0.705
2024-01-04,7,0.446,0.236,0.236,0.082
2024-01-04,8,1.0,0.0,0.0,0.0
2024-01-04,9,0.836,0.039,0.118,0.007
2024-01-04,10,0.472,0.338,0.118,0.072
2024-01-04,11,0.0,0.252,0.59,0.157
2024-01-04,12,0.37,0.0,0.039,0.59
2024-01-04,13,0.22,0.118,0.505,0.157
2024-01-04,14,0.0,0.0,0.321,0.679
2024-01-04,15,0.42,0.118,0.0,0.462
2024-01-04,16,1.0,0.0,0.0,0.0
2024-01-04,17,0.744,0.256,0.0,0.0
2024-01-04,18,0.0,0.61,0.079,0.311
2024-01-04,19,0.0,0.0,0.289,0.711
2024-01-04,20,0.0,0.0,0.252,0.748
2024-01-04,21,0.0,0.0,1.0,0.0
2024-01-04,22,0.0,0.0,0.466,0.534
2024-01-04,23,0.0,0.0,0.511,0.489
2024-01-05,0,0.0,0.0,0.252,0.748
2024-01-05,1,0.0,0.0,0.338,0.662
2024-01-05,2,0.0,0.0,0.511,0.489
2024-01-05,3,0.0,0.0,0.459,0.541
2024-01-05,4,0.0,0.0,0.489,0.511
