Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count
2024-07-02,0,0.0,0.0,0.59,0.41,0.0,0.0,1.0,2.0
2024-07-02,1,0.0,0.0,0.387,0.613,0.0,0.0,1.0,1.0
2024-07-02,2,0.0,0.0,0.174,0.826,0.0,0.0,2.0,1.0
2024-07-02,3,0.0,0.0,0.502,0.498,0.0,0.0,1.0,1.0
2024-07-02,4,0.0,0.0,0.63,0.37,0.0,0.0,1.0,2.0
2024-07-02,5,0.0,0.0,0.452,0.548,0.0,0.0,1.0,1.0
2024-07-02,6,0.0,0.0,0.492,0.508,0.0,0.0,1.0,1.0
2024-07-02,7,0.0,0.0,0.957,0.043,0.0,0.0,1.0,1.0
2024-07-02,8,0.895,0.0,0.066,0.039,1.0,0.0,1.0,1.0
2024-07-02,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-07-02,10,0.505,0.495,0.0,0.0,1.0,1.0,0.0,0.0
2024-07-02,11,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-07-02,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-07-02,13,0.072,0.692,0.079,0.157,1.0,1.0,1.0,1.0
2024-07-02,14,0.439,0.551,0.01,0.0,1.0,1.0,1.0,0.0
2024-07-02,15,0.0,0.0,0.134,0.866,0.0,0.0,3.0,2.0
2024-07-02,16,0.239,0.0,0.682,0.079,1.0,0.0,1.0,1.0
2024-07-02,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-07-02,18,0.334,0.075,0.354,0.236,3.0,1.0,2.0,1.0
2024-07-02,19,0.0,0.239,0.0,0.761,0.0,1.0,0.0,1.0
2024-07-02,20,0.0,0.0,0.315,0.685,0.0,0.0,1.0,2.0
2024-07-02,21,0.0,0.0,0.511,0.489,0.0,0.0,1.0,2.0
2024-07-02,22,0.0,0.0,0.433,0.567,0.0,0.0,1.0,2.0
2024-07-02,23,0.0,0.0,0.315,0.685,0.0,0.0,1.0,1.0
2024-07-03,0,0.0,0.0,0.41,0.59,0.0,0.0,2.0,1.0
2024-07-03,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2024-07-03,2,0.0,0.0,0.489,0.511,0.0,0.0,2.0,1.0
2024-07-03,3,0.0,0.0,0.489,0.511,0.0,0.0,2.0,1.0
2024-07-03,4,0.157,0.0,0.843,0.0,1.0,0.0,2.0,0.0
2024-07-03,5,0.0,0.0,0.508,0.492,0.0,0.0,1.0,1.0
2024-07-03,6,0.0,0.0,0.902,0.098,0.0,0.0,1.0,1.0
2024-07-03,7,0.446,0.0,0.554,0.0,2.0,0.0,2.0,0.0
2024-07-03,8,0.302,0.0,0.698,0.0,2.0,0.0,2.0,0.0
2024-07-03,9,0.118,0.0,0.607,0.275,2.0,0.0,4.0,2.0
2024-07-03,10,0.534,0.0,0.466,0.0,2.0,0.0,2.0,0.0
2024-07-03,11,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2024-07-03,12,0.708,0.0,0.275,0.016,1.0,0.0,2.0,1.0
2024-07-03,13,0.0,0.0,0.466,0.534,0.0,0.0,1.0,1.0
2024-07-03,14,0.472,0.0,0.41,0.118,3.0,0.0,3.0,1.0
2024-07-03,15,0.066,0.0,0.541,0.393,1.0,0.0,2.0,1.0
2024-07-03,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-07-03,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-07-03,18,0.61,0.0,0.236,0.154,1.0,0.0,1.0,1.0
2024-07-03,19,0.039,0.0,0.59,0.37,1.0,0.0,2.0,2.0
2024-07-03,20,0.0,0.0,0.62,0.38,0.0,0.0,1.0,1.0
2024-07-03,21,0.0,0.0,0.489,0.511,0.0,0.0,2.0,1.0
2024-07-03,22,0.275,0.0,0.725,0.0,1.0,0.0,2.0,0.0
2024-07-03,23,0.0,0.0,0.41,0.59,0.0,0.0,3.0,1.0
2024-07-04,0,0.0,0.0,0.472,0.528,0.0,0.0,1.0,1.0
2024-07-04,1,0.0,0.0,0.511,0.489,0.0,0.0,1.0,2.0
2024-07-04,2,0.0,0.0,0.718,0.282,0.0,0.0,1.0,1.0
2024-07-04,3,0.0,0.0,0.659,0.341,0.0,0.0,1.0,1.0
2024-07-04,4,0.0,0.0,0.866,0.134,0.0,0.0,1.0,2.0
2024-07-04,5,0.0,0.0,0.413,0.587,0.0,0.0,1.0,1.0
2024-07-04,6,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0
2024-07-04,7,0.052,0.0,0.948,0.0,1.0,0.0,1.0,0.0
2024-07-04,8,0.685,0.0,0.315,0.0,3.0,0.0,2.0,0.0
2024-07-04,9,0.843,0.118,0.039,0.0,3.0,1.0,1.0,0.0
2024-07-04,10,0.725,0.275,0.0,0.0,2.0,1.0,0.0,0.0
2024-07-04,11,0.134,0.866,0.0,0.0,2.0,2.0,0.0,0.0
2024-07-04,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-07-04,13,0.0,0.961,0.039,0.0,0.0,2.0,1.0,0.0
2024-07-04,14,0.0,0.557,0.039,0.403,0.0,1.0,1.0,1.0
2024-07-04,15,0.59,0.302,0.0,0.108,2.0,2.0,0.0,1.0
2024-07-04,16,0.0,0.013,0.079,0.908,0.0,1.0,1.0,1.0
2024-07-04,17,0.315,0.059,0.315,0.311,1.0,1.0,1.0,1.0
2024-07-04,18,0.118,0.374,0.315,0.193,2.0,3.0,4.0,3.0
2024-07-04,19,0.0,0.0,0.433,0.567,0.0,0.0,1.0,2.0
2024-07-04,20,0.0,0.0,0.62,0.38,0.0,0.0,1.0,1.0
2024-07-04,21,0.0,0.0,0.482,0.518,0.0,0.0,2.0,2.0
2024-07-04,22,0.039,0.0,0.393,0.567,1.0,0.0,2.0,2.0
2024-07-04,23,0.0,0.0,0.708,0.292,0.0,0.0,2.0,1.0
2024-07-05,0,0.0,0.0,0.489,0.511,0.0,0.0,1.0,1.0
2024-07-05,1,0.0,0.0,0.607,0.393,0.0,0.0,2.0,1.0
2024-07-05,2,0.0,0.0,0.331,0.669,0.0,0.0,2.0,1.0
2024-07-05,3,0.0,0.0,0.37,0.63,0.0,0.0,2.0,1.0
2024-07-05,4,0.0,0.0,0.646,0.354,0.0,0.0,2.0,1.0
2024-07-05,5,0.0,0.0,0.528,0.472,0.0,0.0,2.0,1.0
2024-07-05,6,0.0,0.0,0.846,0.154,0.0,0.0,2.0,2.0
2024-07-05,7,0.039,0.0,0.8,0.161,1.0,0.0,2.0,1.0
2024-07-05,8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2024-07-05,9,0.675,0.0,0.325,0.0,1.0,0.0,1.0,0.0
2024-07-05,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-07-05,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-07-05,12,0.197,0.803,0.0,0.0,2.0,2.0,0.0,0.0
2024-07-05,13,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
