Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad
2024-01-01,0,0.511,0.0,0.331,0.157,1.0,0.0,2.0,1.0,-0.045955444631806716
2024-01-01,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5945271183859473
2024-01-01,2,0.0,0.0,0.921,0.079,0.0,0.0,2.0,1.0,-0.536981697451489
2024-01-01,3,0.0,0.0,0.725,0.275,0.0,0.0,2.0,1.0,-0.39421077969004825
2024-01-01,4,0.0,0.0,0.843,0.157,0.0,0.0,3.0,2.0,-0.480164699566834
2024-01-01,5,0.039,0.039,0.764,0.157,1.0,1.0,4.0,2.0,-0.41341755991234724
2024-01-01,6,0.0,0.036,0.964,0.0,0.0,1.0,1.0,0.0,-0.5640113683553614
2024-01-01,7,0.997,0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.25403128863687185
2024-01-01,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-01,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-01,10,0.331,0.0,0.079,0.59,2.0,0.0,1.0,1.0,0.11611620880093312
2024-01-01,11,0.528,0.0,0.0,0.472,2.0,0.0,0.0,1.0,0.19732882782801892
2024-01-01,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-01,13,0.18,0.393,0.039,0.387,1.0,1.0,1.0,1.0,0.17383840018722352
2024-01-01,14,0.118,0.0,0.089,0.793,1.0,0.0,2.0,2.0,0.0832425712281306
2024-01-01,15,0.039,0.0,0.462,0.498,1.0,0.0,2.0,1.0,-0.1980840291292339
2024-01-01,16,0.279,0.118,0.157,0.446,2.0,1.0,1.0,1.0,0.06712195917000599
2024-01-01,17,0.666,0.334,0.0,0.0,1.0,1.0,0.0,0.0,0.2537329291706966
2024-01-01,18,0.0,0.964,0.036,0.0,0.0,1.0,1.0,0.0,0.22261685465529882
2024-01-01,19,0.0,0.0,0.252,0.748,0.0,0.0,2.0,1.0,-0.04966667713310201
2024-01-01,20,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5945271183859473
2024-01-01,21,0.0,0.0,0.285,0.715,0.0,0.0,1.0,1.0,-0.07370463777660986
2024-01-01,22,0.0,0.0,0.77,0.23,0.0,0.0,1.0,1.0,-0.4269898169311954
2024-01-01,23,0.0,0.0,0.252,0.748,0.0,0.0,2.0,2.0,-0.04966667713310201
2024-01-02,0,0.275,0.0,0.275,0.449,1.0,0.0,1.0,1.0,-0.033516336329423115
2024-01-02,1,0.0,0.0,0.59,0.41,0.0,0.0,1.0,2.0,-0.2958736679666069
2024-01-02,2,0.0,0.0,0.875,0.125,0.0,0.0,1.0,1.0,-0.5034742371605386
2024-01-02,3,0.0,0.0,0.882,0.118,0.0,0.0,4.0,2.0,-0.5085731985091616
2024-01-02,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5945271183859473
2024-01-02,5,0.059,0.118,0.784,0.039,1.0,1.0,1.0,1.0,-0.4160296665611009
2024-01-02,6,0.177,0.0,0.784,0.039,1.0,0.0,2.0,1.0,-0.4159233027634916
2024-01-02,7,0.839,0.0,0.161,0.0,1.0,0.0,1.0,0.0,0.11741565390008427
2024-01-02,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-02,9,0.961,0.039,0.0,0.0,2.0,1.0,0.0,0.0,0.25399883866471984
2024-01-02,10,0.387,0.0,0.0,0.613,1.0,0.0,0.0,1.0,0.1803893611728896
2024-01-02,11,0.511,0.0,0.039,0.449,1.0,0.0,1.0,1.0,0.16674408591074785
2024-01-02,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-02,13,0.652,0.118,0.157,0.072,1.0,1.0,1.0,1.0,0.1117995601347819
2024-01-02,14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1338959314173218
2024-01-02,15,0.734,0.157,0.0,0.108,3.0,2.0,0.0,1.0,0.24066353024484854
2024-01-02,16,0.131,0.869,0.0,0.0,2.0,2.0,0.0,0.0,0.2532506865289934
2024-01-02,17,0.079,0.921,0.0,0.0,1.0,2.0,0.0,0.0,0.2532038143469961
2024-01-02,18,0.0,0.531,0.118,0.351,0.0,1.0,1.0,1.0,0.111256685046143
2024-01-02,19,0.0,0.0,0.393,0.607,0.0,0.0,1.0,2.0,-0.15237432715536298
2024-01-02,20,0.0,0.0,0.541,0.459,0.0,0.0,1.0,1.0,-0.2601809385262468
2024-01-02,21,0.0,0.0,0.285,0.715,0.0,0.0,1.0,1.0,-0.07370463777660986
2024-01-02,22,0.0,0.0,0.59,0.41,0.0,0.0,1.0,2.0,-0.2958736679666069
2024-01-02,23,0.0,0.0,0.511,0.489,1.0,0.0,1.0,1.0,-0.23832824703214872
2024-01-03,0,0.0,0.0,0.393,0.607,0.0,0.0,1.0,1.0,-0.15237432715536298
2024-01-03,1,0.0,0.0,0.938,0.062,0.0,0.0,1.0,1.0,-0.5493648892981445
2024-01-03,2,0.0,0.0,0.41,0.59,0.0,0.0,2.0,1.0,-0.16475751900201852
2024-01-03,3,0.0,0.0,0.698,0.302,0.0,0.0,1.0,1.0,-0.37454335734536
2024-01-03,4,0.0,0.0,0.83,0.17,0.0,0.0,1.0,1.0,-0.4706951999193915
2024-01-03,5,0.0,0.118,0.685,0.197,0.0,1.0,3.0,2.0,-0.35100393025222715
2024-01-03,6,0.0,0.0,0.531,0.469,0.0,0.0,2.0,2.0,-0.2528967080282141
2024-01-03,7,0.407,0.0,0.157,0.436,1.0,0.0,2.0,3.0,0.06842970358145425
2024-01-03,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
