Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad,Nivel_estres
2024-01-01,0,0.0,0.0,0.748,0.252,0.0,0.0,1.0,1.0,-0.2817887033189151,normal
2024-01-01,1,0.118,0.0,0.662,0.22,1.0,0.0,1.0,1.0,-0.2407088656403844,normal
2024-01-01,2,0.0,0.0,0.528,0.472,0.0,0.0,2.0,1.0,-0.2923919461314912,normal
2024-01-01,3,0.0,0.0,0.777,0.223,0.0,0.0,1.0,1.0,-0.2803910031299846,normal
2024-01-01,4,0.0,0.0,0.515,0.485,0.0,0.0,1.0,1.0,-0.293018501388598,normal
2024-01-01,5,0.118,0.0,0.607,0.275,1.0,0.0,4.0,2.0,-0.2433596763435284,normal
2024-01-01,6,0.233,0.0,0.728,0.039,2.0,0.0,2.0,1.0,-0.1934529326778441,normal
2024-01-01,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,normal
2024-01-01,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,normal
2024-01-01,9,0.803,0.0,0.197,0.0,2.0,0.0,1.0,0.0,-0.0005868071227657,normal
2024-01-01,10,0.544,0.338,0.118,0.0,2.0,2.0,2.0,0.0,0.1955664624748763,normal
2024-01-01,11,0.236,0.489,0.079,0.197,2.0,1.0,1.0,1.0,0.2090022787939575,normal
2024-01-01,12,0.984,0.016,0.0,0.0,1.0,1.0,0.0,0.0,0.0734531354949294,normal
2024-01-01,13,0.426,0.574,0.0,0.0,1.0,1.0,0.0,0.0,0.3535810489592624,normal
2024-01-01,14,0.557,0.0,0.089,0.354,2.0,0.0,1.0,1.0,-0.1000741240144609,normal
2024-01-01,15,0.079,0.039,0.685,0.197,1.0,1.0,5.0,3.0,-0.2200215121394022,normal
2024-01-01,16,0.515,0.0,0.092,0.393,1.0,0.0,2.0,2.0,-0.1160264762961634,normal
2024-01-01,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,normal
2024-01-01,18,0.138,0.708,0.154,0.0,1.0,2.0,2.0,0.0,0.3692520593606579,normal
2024-01-01,19,0.0,0.0,0.567,0.433,0.0,0.0,2.0,1.0,-0.2905122803601708,normal
2024-01-01,20,0.0,0.0,0.331,0.669,0.0,0.0,2.0,1.0,-0.3018866681045706,normal
2024-01-01,21,0.0,0.0,0.567,0.433,0.0,0.0,2.0,1.0,-0.2905122803601708,normal
2024-01-01,22,0.0,0.0,0.23,0.77,0.0,0.0,1.0,1.0,-0.3067545204867078,normal
2024-01-01,23,0.0,0.0,0.59,0.41,0.0,0.0,1.0,2.0,-0.2894037595206743,normal
2024-01-02,0,0.252,0.0,0.354,0.393,1.0,0.0,1.0,1.0,-0.2038786557976758,normal
2024-01-02,1,0.692,0.0,0.19,0.118,1.0,0.0,2.0,1.0,-0.0434661010581185,normal
2024-01-02,2,0.0,0.0,0.911,0.089,0.0,0.0,3.0,2.0,-0.2739326643259611,normal
2024-01-02,3,0.0,0.0,0.577,0.423,0.0,0.0,1.0,1.0,-0.2900303147777811,normal
2024-01-02,4,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0,-0.2961994742323708,normal
2024-01-02,5,0.236,0.0,0.489,0.275,1.0,0.0,2.0,1.0,-0.2038221285286452,normal
2024-01-02,6,0.0,0.0,0.921,0.079,0.0,0.0,3.0,2.0,-0.2734506987435712,normal
2024-01-02,7,0.997,0.0,0.003,0.0,1.0,0.0,1.0,0.0,0.0644156019966186,normal
2024-01-02,8,0.695,0.305,0.0,0.0,2.0,2.0,0.0,0.0,0.218537305730041,normal
2024-01-02,9,0.0,0.6,0.157,0.243,0.0,3.0,3.0,1.0,0.2208962546016833,normal
2024-01-02,10,0.708,0.0,0.141,0.151,1.0,0.0,1.0,1.0,-0.0396955640474783,normal
2024-01-02,11,0.748,0.197,0.056,0.0,2.0,2.0,1.0,0.0,0.1456208386782819,normal
2024-01-02,12,0.449,0.472,0.079,0.0,2.0,1.0,1.0,0.0,0.2759048180311232,normal
2024-01-02,13,0.298,0.118,0.426,0.157,2.0,1.0,2.0,1.0,-0.0783152585351275,normal
2024-01-02,14,0.01,0.0,0.557,0.433,1.0,0.0,1.0,1.0,-0.2871616407148418,normal
2024-01-02,15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,normal
2024-01-02,16,0.646,0.354,0.0,0.0,2.0,1.0,0.0,0.0,0.2431363518944716,normal
2024-01-02,17,0.862,0.138,0.0,0.0,2.0,2.0,0.0,0.0,0.1346997402308588,normal
2024-01-02,18,0.0,0.882,0.118,0.0,0.0,3.0,2.0,0.0,0.4686660770350864,normal
2024-01-02,19,0.0,0.082,0.761,0.157,0.0,1.0,2.0,2.0,-0.208569034470364,normal
2024-01-02,20,0.0,0.0,0.803,0.197,0.0,0.0,2.0,1.0,-0.2791378926157711,normal
2024-01-02,21,0.0,0.0,0.646,0.354,0.0,0.0,2.0,1.0,-0.2867047522592913,normal
2024-01-02,22,0.0,0.0,0.331,0.669,0.0,0.0,2.0,1.0,-0.3018866681045706,normal
2024-01-02,23,0.826,0.0,0.174,0.0,2.0,0.0,2.0,1.0,0.0071196640614911,normal
2024-01-03,0,0.236,0.764,0.0,0.0,1.0,1.0,0.0,0.0,0.4489651055152182,normal
2024-01-03,1,0.0,0.18,0.662,0.157,0.0,1.0,3.0,2.0,-0.1262650304466348,normal
2024-01-03,2,0.0,0.0,0.607,0.393,0.0,0.0,3.0,2.0,-0.2885844180306116,normal
2024-01-03,3,0.0,0.0,0.685,0.315,0.0,0.0,3.0,2.0,-0.284825086487971,normal
2024-01-03,4,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0,-0.2961994742323708,normal
2024-01-03,5,0.118,0.0,0.764,0.118,1.0,0.0,2.0,1.0,-0.2357928167000083,normal
2024-01-03,6,0.0,0.0,0.646,0.354,0.0,0.0,3.0,2.0,-0.2867047522592913,normal
2024-01-03,7,0.603,0.039,0.357,0.0,3.0,1.0,2.0,0.0,-0.0346836295804357,normal
2024-01-03,8,0.105,0.895,0.0,0.0,1.0,1.0,0.0,0.0,0.5147299024037982,normal
2024-01-03,9,0.361,0.482,0.157,0.0,2.0,4.0,2.0,0.0,0.2547900423005014,normal
2024-01-03,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,normal
2024-01-03,11,0.41,0.0,0.393,0.197,2.0,0.0,3.0,2.0,-0.1417616671572784,normal
2024-01-03,12,0.236,0.764,0.0,0.0,1.0,1.0,0.0,0.0,0.4489651055152182,normal
2024-01-03,13,0.0,0.456,0.354,0.19,0.0,3.0,3.0,1.0,0.1029103868532019,normal
2024-01-03,14,0.0,0.0,0.669,0.331,0.0,0.0,1.0,2.0,-0.2855962314197947,normal
2024-01-03,15,0.931,0.0,0.0,0.069,1.0,0.0,0.0,1.0,0.0389758178189568,normal
2024-01-03,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,normal
2024-01-03,17,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0654207938902173,normal
2024-01-03,18,0.098,0.866,0.036,0.0,1.0,1.0,1.0,0.0,0.4881089805220728,normal
2024-01-03,19,0.039,0.0,0.357,0.603,1.0,0.0,3.0,2.0,-0.2853685574733717,normal
2024-01-03,20,0.0,0.0,0.393,0.607,0.0,0.0,2.0,3.0,-0.2988984814937537,normal
2024-01-03,21,0.0,0.0,0.787,0.213,0.0,0.0,2.0,3.0,-0.2799090375475949,normal
2024-01-03,22,0.0,0.0,0.472,0.528,0.0,0.0,1.0,2.0,-0.2950909533928741,normal
2024-01-03,23,0.0,0.0,0.511,0.489,1.0,0.0,1.0,1.0,-0.2932112876215539,normal
2024-01-04,0,0.0,0.0,0.315,0.685,0.0,0.0,1.0,1.0,-0.3026578130363944,normal
2024-01-04,1,0.118,0.0,0.472,0.41,1.0,0.0,2.0,2.0,-0.249866211705791,alerta
2024-01-04,2,0.403,0.0,0.275,0.321,1.0,0.0,2.0,3.0,-0.1498138449599999,alerta
2024-01-04,3,0.384,0.0,0.118,0.498,1.0,0.0,1.0,2.0,-0.1649804942650676,normal
2024-01-04,4,0.0,0.0,0.551,0.449,0.0,0.0,1.0,2.0,-0.2912834252919946,normal
2024-01-04,5,0.197,0.0,0.354,0.449,1.0,0.0,2.0,3.0,-0.2252758242790115,normal
2024-01-04,6,0.0,0.0,0.511,0.489,0.0,0.0,3.0,4.0,-0.2932112876215539,normal
2024-01-04,7,0.839,0.0,0.118,0.043,1.0,0.0,1.0,1.0,0.0094030435961427,normal
2024-01-04,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,normal
2024-01-04,9,0.797,0.0,0.125,0.079,2.0,0.0,2.0,1.0,-0.0066743621814854,normal
2024-01-04,10,0.574,0.0,0.348,0.079,3.0,0.0,3.0,1.0,-0.0813936262723241,normal
2024-01-04,11,0.174,0.0,0.63,0.197,2.0,0.0,3.0,2.0,-0.2211064059576876,normal
2024-01-04,12,0.118,0.0,0.37,0.511,1.0,0.0,2.0,1.0,-0.2544644209172855,normal
2024-01-04,13,0.236,0.0,0.764,0.0,1.0,0.0,2.0,0.0,-0.1905680750129251,alerta
2024-01-04,14,0.0,0.275,0.361,0.364,0.0,3.0,5.0,3.0,-0.0569882562641426,alerta
2024-01-04,15,0.695,0.0,0.0,0.305,1.0,0.0,0.0,1.0,-0.0514736655552094,normal
2024-01-04,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,normal
2024-01-04,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,normal
2024-01-04,18,0.689,0.0,0.079,0.233,1.0,0.0,1.0,1.0,-0.0502835403198428,normal
2024-01-04,19,0.485,0.0,0.079,0.436,2.0,0.0,2.0,2.0,-0.1281508472364269,normal
2024-01-04,20,0.026,0.0,0.108,0.866,1.0,0.0,2.0,1.0,-0.3026697269997945,normal
2024-01-04,21,0.0,0.0,0.561,0.439,0.0,0.0,1.0,1.0,-0.2908014597096048,normal
2024-01-04,22,0.0,0.0,0.433,0.567,0.0,0.0,1.0,2.0,-0.2969706191641945,normal
2024-01-04,23,0.0,0.0,0.197,0.803,0.0,0.0,2.0,1.0,-0.3083450069085943,normal
2024-01-05,0,0.0,0.0,0.292,0.708,0.0,0.0,2.0,1.0,-0.3037663338758909,normal
2024-01-05,1,0.669,0.0,0.259,0.072,1.0,0.0,1.0,1.0,-0.0489555305633822,normal
2024-01-05,2,0.0,0.0,0.325,0.675,0.0,0.0,1.0,1.0,-0.3021758474540046,normal
2024-01-05,3,0.0,0.0,0.331,0.669,0.0,0.0,2.0,1.0,-0.3018866681045706,normal
2024-01-05,4,0.0,0.0,0.528,0.472,0.0,0.0,3.0,2.0,-0.2923919461314912,normal
2024-01-05,5,0.157,0.0,0.567,0.275,2.0,0.0,3.0,1.0,-0.2300225385561023,normal
2024-01-05,6,0.0,0.0,0.649,0.351,0.0,0.0,3.0,3.0,-0.2865601625845744,normal
2024-01-05,7,0.721,0.0,0.118,0.161,1.0,0.0,1.0,1.0,-0.0358216980909403,normal
2024-01-05,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,normal
2024-01-05,9,0.128,0.597,0.275,0.0,1.0,2.0,1.0,0.0,0.272984949769486,normal
2024-01-05,10,0.77,0.111,0.118,0.0,2.0,1.0,1.0,0.0,0.0815421951641337,normal
2024-01-05,11,0.41,0.0,0.079,0.511,1.0,0.0,2.0,1.0,-0.1568953864443188,normal
2024-01-05,12,0.315,0.134,0.551,0.0,1.0,1.0,1.0,0.0,-0.051928589627952,normal
2024-01-05,13,0.0,0.377,0.623,0.0,0.0,1.0,1.0,0.0,0.0459379930472429,normal
2024-01-05,14,0.049,0.0,0.479,0.472,1.0,0.0,1.0,1.0,-0.2759738118693786,normal
2024-01-05,15,0.607,0.393,0.0,0.0,2.0,1.0,0.0,0.0,0.2627151845559573,normal
2024-01-05,16,0.725,0.275,0.0,0.0,2.0,1.0,0.0,0.0,0.2034766652212058,normal
2024-01-05,17,0.626,0.295,0.039,0.039,1.0,2.0,1.0,1.0,0.1854370164283185,normal
2024-01-05,18,0.039,0.649,0.0,0.311,1.0,1.0,0.0,1.0,0.2719732068554019,normal
2024-01-05,19,0.0,0.0,0.472,0.528,0.0,0.0,1.0,2.0,-0.2950909533928741,normal
2024-01-05,20,0.118,0.0,0.551,0.331,1.0,0.0,1.0,2.0,-0.2460586836049114,normal
