Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad,distancia,nivel_estres
2024-01-02,0,0.252,0.0,0.354,0.393,1.0,0.0,1.0,1.0,-0.2038786557976758,0.06317704549610756,Normal
2024-01-02,1,0.692,0.0,0.19,0.118,1.0,0.0,2.0,1.0,-0.0434661010581185,0.039119536163237004,Normal
2024-01-02,2,0.0,0.0,0.911,0.089,0.0,0.0,3.0,2.0,-0.2739326643259611,0.08255070028019659,Normal
2024-01-02,3,0.0,0.0,0.577,0.423,0.0,0.0,1.0,1.0,-0.2900303147777811,0.11880734209588131,Normal
2024-01-02,4,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0,-0.2961994742323708,0.04620886148025508,Normal
2024-01-02,5,0.236,0.0,0.489,0.275,1.0,0.0,2.0,1.0,-0.2038221285286452,0.06790326877905443,Normal
2024-01-02,6,0.0,0.0,0.921,0.079,0.0,0.0,3.0,2.0,-0.2734506987435712,0.0793450104498812,Normal
2024-01-02,7,0.997,0.0,0.003,0.0,1.0,0.0,1.0,0.0,0.0644156019966186,0.08992026931401256,Normal
2024-01-02,8,0.695,0.305,0.0,0.0,2.0,2.0,0.0,0.0,0.218537305730041,0.09684695285574249,Normal
2024-01-02,9,0.0,0.6,0.157,0.243,0.0,3.0,3.0,1.0,0.2208962546016833,0.10725921589367929,Normal
2024-01-02,10,0.708,0.0,0.141,0.151,1.0,0.0,1.0,1.0,-0.0396955640474783,0.14402931701179222,Normal
2024-01-02,11,0.748,0.197,0.056,0.0,2.0,2.0,1.0,0.0,0.1456208386782819,0.08238840593306582,Normal
2024-01-02,12,0.449,0.472,0.079,0.0,2.0,1.0,1.0,0.0,0.2759048180311232,0.0953401392055864,Normal
2024-01-02,13,0.298,0.118,0.426,0.157,2.0,1.0,2.0,1.0,-0.0783152585351275,0.23062436899598282,Normal
2024-01-02,14,0.01,0.0,0.557,0.433,1.0,0.0,1.0,1.0,-0.2871616407148418,0.11835336308379987,Normal
2024-01-02,15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,0.11801275680859559,Normal
2024-01-02,16,0.646,0.354,0.0,0.0,2.0,1.0,0.0,0.0,0.2431363518944716,0.09618481533642179,Normal
2024-01-02,17,0.862,0.138,0.0,0.0,2.0,2.0,0.0,0.0,0.1346997402308588,0.08383024968297187,Normal
2024-01-02,18,0.0,0.882,0.118,0.0,0.0,3.0,2.0,0.0,0.4686660770350864,0.09403836755166388,Normal
2024-01-02,19,0.0,0.082,0.761,0.157,0.0,1.0,2.0,2.0,-0.208569034470364,0.10676367238267083,Normal
2024-01-02,20,0.0,0.0,0.803,0.197,0.0,0.0,2.0,1.0,-0.2791378926157711,0.13722713779747603,Normal
2024-01-02,21,0.0,0.0,0.646,0.354,0.0,0.0,2.0,1.0,-0.2867047522592913,0.10974701783980782,Normal
2024-01-02,22,0.0,0.0,0.331,0.669,0.0,0.0,2.0,1.0,-0.3018866681045706,0.13407068650490755,Normal
2024-01-02,23,0.826,0.0,0.174,0.0,2.0,0.0,2.0,1.0,0.0071196640614911,0.15410115467305494,Normal
2024-01-03,0,0.236,0.764,0.0,0.0,1.0,1.0,0.0,0.0,0.4489651055152182,0.12907334714644753,Normal
2024-01-03,1,0.0,0.18,0.662,0.157,0.0,1.0,3.0,2.0,-0.1262650304466348,0.04658419947956014,Normal
2024-01-03,2,0.0,0.0,0.607,0.393,0.0,0.0,3.0,2.0,-0.2885844180306116,0.06045269373189559,Normal
2024-01-03,3,0.0,0.0,0.685,0.315,0.0,0.0,3.0,2.0,-0.284825086487971,0.04743920377393093,Normal
2024-01-03,4,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0,-0.2961994742323708,0.03462816919669847,Normal
2024-01-03,5,0.118,0.0,0.764,0.118,1.0,0.0,2.0,1.0,-0.2357928167000083,0.0494225700076686,Normal
2024-01-03,6,0.0,0.0,0.646,0.354,0.0,0.0,3.0,2.0,-0.2867047522592913,0.07165672629816541,Normal
2024-01-03,7,0.603,0.039,0.357,0.0,3.0,1.0,2.0,0.0,-0.0346836295804357,0.07386581419404223,Normal
2024-01-03,8,0.105,0.895,0.0,0.0,1.0,1.0,0.0,0.0,0.5147299024037982,0.11523738151063938,Normal
2024-01-03,9,0.361,0.482,0.157,0.0,2.0,4.0,2.0,0.0,0.2547900423005014,0.05509706642106708,Normal
2024-01-03,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,0.04180925488698412,Normal
2024-01-03,11,0.41,0.0,0.393,0.197,2.0,0.0,3.0,2.0,-0.1417616671572784,0.018418627465583304,Normal
2024-01-03,12,0.236,0.764,0.0,0.0,1.0,1.0,0.0,0.0,0.4489651055152182,0.11922750125911484,Normal
2024-01-03,13,0.0,0.456,0.354,0.19,0.0,3.0,3.0,1.0,0.1029103868532019,0.23646935953182804,Normal
2024-01-03,14,0.0,0.0,0.669,0.331,0.0,0.0,1.0,2.0,-0.2855962314197947,0.20183483030470853,Normal
2024-01-03,15,0.931,0.0,0.0,0.069,1.0,0.0,0.0,1.0,0.0389758178189568,0.13099789629577024,Normal
2024-01-03,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,0.09131917422951996,Normal
2024-01-03,17,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0654207938902173,0.09613510134988924,Normal
2024-01-03,18,0.098,0.866,0.036,0.0,1.0,1.0,1.0,0.0,0.4881089805220728,0.1028959939699475,Normal
2024-01-03,19,0.039,0.0,0.357,0.603,1.0,0.0,3.0,2.0,-0.2853685574733717,0.12036668781947346,Normal
2024-01-03,20,0.0,0.0,0.393,0.607,0.0,0.0,2.0,3.0,-0.2988984814937537,0.1434177209332475,Normal
2024-01-03,21,0.0,0.0,0.787,0.213,0.0,0.0,2.0,3.0,-0.2799090375475949,0.10974822937433865,Normal
2024-01-03,22,0.0,0.0,0.472,0.528,0.0,0.0,1.0,2.0,-0.2950909533928741,0.1368135709678252,Normal
2024-01-03,23,0.0,0.0,0.511,0.489,1.0,0.0,1.0,1.0,-0.2932112876215539,0.16535813169710292,Normal
2024-01-04,0,0.0,0.0,0.315,0.685,0.0,0.0,1.0,1.0,-0.3026578130363944,0.13212344282425115,Normal
2024-01-04,1,0.118,0.0,0.472,0.41,1.0,0.0,2.0,2.0,-0.249866211705791,0.2886999667928726,Leve
2024-01-04,2,0.403,0.0,0.275,0.321,1.0,0.0,2.0,3.0,-0.1498138449599999,0.3249805136327143,Leve
2024-01-04,3,0.384,0.0,0.118,0.498,1.0,0.0,1.0,2.0,-0.1649804942650676,0.20842592370341478,Normal
2024-01-04,4,0.0,0.0,0.551,0.449,0.0,0.0,1.0,2.0,-0.2912834252919946,0.1608786344836467,Normal
2024-01-04,5,0.197,0.0,0.354,0.449,1.0,0.0,2.0,3.0,-0.2252758242790115,0.14330372040989234,Normal
2024-01-04,6,0.0,0.0,0.511,0.489,0.0,0.0,3.0,4.0,-0.2932112876215539,0.15993156129984057,Normal
2024-01-04,7,0.839,0.0,0.118,0.043,1.0,0.0,1.0,1.0,0.0094030435961427,0.1511256222035672,Normal
2024-01-04,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,0.2148539437522063,Normal
2024-01-04,9,0.797,0.0,0.125,0.079,2.0,0.0,2.0,1.0,-0.0066743621814854,0.17408410700759636,Normal
2024-01-04,10,0.574,0.0,0.348,0.079,3.0,0.0,3.0,1.0,-0.0813936262723241,0.1635684199200103,Normal
2024-01-04,11,0.174,0.0,0.63,0.197,2.0,0.0,3.0,2.0,-0.2211064059576876,0.17234389045216122,Normal
2024-01-04,12,0.118,0.0,0.37,0.511,1.0,0.0,2.0,1.0,-0.2544644209172855,0.19058833716518095,Normal
2024-01-04,13,0.236,0.0,0.764,0.0,1.0,0.0,2.0,0.0,-0.1905680750129251,0.05733192539932409,Normal
2024-01-04,14,0.0,0.275,0.361,0.364,0.0,3.0,5.0,3.0,-0.0569882562641426,0.07596054671805647,Normal
2024-01-04,15,0.695,0.0,0.0,0.305,1.0,0.0,0.0,1.0,-0.0514736655552094,0.08274120196189423,Normal
2024-01-04,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,0.059598702210267175,Normal
2024-01-04,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0654207938902173,0.07189803722244656,Normal
2024-01-04,18,0.689,0.0,0.079,0.233,1.0,0.0,1.0,1.0,-0.0502835403198428,0.08359964698420766,Normal
2024-01-04,19,0.485,0.0,0.079,0.436,2.0,0.0,2.0,2.0,-0.1281508472364269,0.05374470523294723,Normal
2024-01-04,20,0.026,0.0,0.108,0.866,1.0,0.0,2.0,1.0,-0.3026697269997945,0.02594475415382281,Normal
2024-01-04,21,0.0,0.0,0.561,0.439,0.0,0.0,1.0,1.0,-0.2908014597096048,0.021618381055022357,Normal
2024-01-04,22,0.0,0.0,0.433,0.567,0.0,0.0,1.0,2.0,-0.2969706191641945,0.0599535725183463,Normal
2024-01-04,23,0.0,0.0,0.197,0.803,0.0,0.0,2.0,1.0,-0.3083450069085943,0.09449519690349788,Normal
2024-01-05,0,0.0,0.0,0.292,0.708,0.0,0.0,2.0,1.0,-0.3037663338758909,0.0985791842948732,Normal
2024-01-05,1,0.669,0.0,0.259,0.072,1.0,0.0,1.0,1.0,-0.0489555305633822,0.1325097213007058,Normal
2024-01-05,2,0.0,0.0,0.325,0.675,0.0,0.0,1.0,1.0,-0.3021758474540046,0.20037887235140112,Normal
2024-01-05,3,0.0,0.0,0.331,0.669,0.0,0.0,2.0,1.0,-0.3018866681045706,0.11180110291989315,Normal
