Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count
2024-01-01,0,0.41,0.0,0.236,0.354,1.0,0.0,1.0,1.0
2024-01-01,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-01,2,0.125,0.039,0.285,0.551,1.0,1.0,1.0,1.0
2024-01-01,3,0.0,0.0,0.607,0.393,0.0,0.0,2.0,1.0
2024-01-01,4,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0
2024-01-01,5,0.157,0.0,0.843,0.0,2.0,0.0,3.0,0.0
2024-01-01,6,0.154,0.0,0.413,0.433,1.0,0.0,2.0,1.0
2024-01-01,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-01,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-01,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-01,10,0.977,0.0,0.0,0.023,1.0,0.0,0.0,1.0
2024-01-01,11,0.197,0.0,0.197,0.607,1.0,0.0,1.0,1.0
2024-01-01,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-01,13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-01,14,0.439,0.079,0.01,0.472,3.0,1.0,1.0,1.0
2024-01-01,15,0.039,0.0,0.266,0.695,1.0,0.0,3.0,3.0
2024-01-01,16,0.357,0.157,0.275,0.21,1.0,1.0,1.0,1.0
2024-01-01,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-01,18,0.689,0.0,0.118,0.193,1.0,0.0,1.0,1.0
2024-01-01,19,0.0,0.0,0.407,0.593,0.0,0.0,1.0,1.0
2024-01-01,20,0.0,0.0,0.331,0.669,0.0,0.0,2.0,1.0
2024-01-01,21,0.0,0.0,0.252,0.748,0.0,0.0,2.0,1.0
2024-01-01,22,0.0,0.0,0.505,0.495,0.0,0.0,1.0,1.0
2024-01-01,23,0.0,0.0,0.393,0.607,0.0,0.0,1.0,2.0
2024-01-02,0,0.0,0.0,0.708,0.292,0.0,0.0,1.0,2.0
2024-01-02,1,0.033,0.0,0.669,0.298,1.0,0.0,1.0,1.0
2024-01-02,2,0.046,0.0,0.246,0.708,1.0,0.0,2.0,1.0
2024-01-02,3,0.0,0.0,0.37,0.63,0.0,0.0,2.0,1.0
2024-01-02,4,0.0,0.0,0.564,0.436,0.0,0.0,1.0,1.0
2024-01-02,5,0.157,0.039,0.649,0.154,2.0,1.0,2.0,1.0
2024-01-02,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2024-01-02,7,0.918,0.039,0.043,0.0,2.0,1.0,1.0,0.0
2024-01-02,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-02,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-02,10,0.607,0.0,0.039,0.354,3.0,0.0,1.0,1.0
2024-01-02,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-02,12,0.079,0.0,0.213,0.708,1.0,0.0,1.0,1.0
2024-01-02,13,0.472,0.197,0.18,0.151,2.0,2.0,2.0,2.0
2024-01-02,14,0.0,0.0,0.551,0.449,0.0,0.0,1.0,2.0
2024-01-02,15,0.892,0.079,0.0,0.03,2.0,1.0,0.0,1.0
2024-01-02,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-02,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-02,18,0.61,0.0,0.039,0.351,1.0,0.0,1.0,1.0
2024-01-02,19,0.289,0.0,0.236,0.475,1.0,0.0,1.0,1.0
2024-01-02,20,0.026,0.0,0.266,0.708,1.0,0.0,2.0,1.0
2024-01-02,21,0.0,0.0,0.528,0.472,0.0,0.0,2.0,1.0
2024-01-02,22,0.0,0.0,0.331,0.669,0.0,0.0,2.0,1.0
2024-01-02,23,0.669,0.0,0.213,0.118,1.0,0.0,1.0,2.0
2024-01-03,0,0.275,0.0,0.174,0.551,2.0,0.0,2.0,1.0
2024-01-03,1,0.0,0.0,0.41,0.59,0.0,0.0,2.0,1.0
2024-01-03,2,0.039,0.0,0.725,0.236,1.0,0.0,2.0,1.0
2024-01-03,3,0.0,0.0,0.41,0.59,0.0,0.0,2.0,1.0
2024-01-03,4,0.0,0.0,0.643,0.357,0.0,0.0,1.0,1.0
2024-01-03,5,0.118,0.079,0.492,0.311,3.0,1.0,3.0,4.0
2024-01-03,6,0.0,0.0,0.649,0.351,0.0,0.0,1.0,1.0
2024-01-03,7,0.485,0.039,0.275,0.2,1.0,1.0,2.0,3.0
2024-01-03,8,0.921,0.079,0.0,0.0,2.0,1.0,0.0,0.0
