Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad,Nivel_estres
2024-07-02,0,0.0,0.0,0.748,0.252,0.0,0.0,1.0,2.0,-0.4109645098355234,normal
2024-07-02,1,0.0,0.0,0.269,0.731,0.0,0.0,1.0,1.0,-0.0620498689797576,normal
2024-07-02,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5945271183859473,normal
2024-07-02,3,0.0,0.0,0.489,0.511,0.0,0.0,2.0,1.0,-0.2223029399364767,normal
2024-07-02,4,0.157,0.0,0.685,0.157,1.0,0.0,3.0,2.0,-0.3463460779920632,normal
2024-07-02,5,0.0,0.0,0.961,0.039,0.0,0.0,2.0,1.0,-0.5661186194436197,normal
2024-07-02,6,0.0,0.036,0.846,0.118,0.0,1.0,2.0,1.0,-0.4780574484785755,normal
2024-07-02,7,0.957,0.043,0.0,0.0,1.0,1.0,0.0,0.0,0.2539952331122585,normal
2024-07-02,8,0.302,0.0,0.108,0.59,1.0,0.0,2.0,1.0,0.0915079365765053,normal
2024-07-02,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5945271183859473,normal
2024-07-02,10,0.495,0.0,0.505,0.0,1.0,0.0,1.0,0.0,-0.1744893683483005,normal
2024-07-02,11,0.725,0.0,0.157,0.118,2.0,0.0,1.0,1.0,0.1066336071015331,normal
2024-07-02,12,0.393,0.0,0.292,0.315,2.0,0.0,3.0,1.0,-0.0315893410013616,normal
2024-07-02,13,0.354,0.0,0.607,0.039,3.0,0.0,4.0,1.0,-0.2657279860833633,normal
2024-07-02,14,0.0,0.0,0.4,0.6,0.0,0.0,1.0,1.0,-0.1574732885039858,normal
2024-07-02,15,0.42,0.079,0.157,0.344,1.0,1.0,1.0,2.0,0.0794111955676613,normal
2024-07-02,16,0.761,0.239,0.0,0.0,2.0,2.0,0.0,0.0,0.2538185610416532,normal
2024-07-02,17,0.0,0.961,0.039,0.0,0.0,2.0,1.0,0.0,0.2200738754860833,normal
2024-07-02,18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2531326046858848,normal
2024-07-02,19,0.0,0.003,0.8,0.197,0.0,1.0,2.0,1.0,-0.4484847984054878,normal
2024-07-02,20,0.0,0.0,0.489,0.511,0.0,0.0,2.0,1.0,-0.2223029399364767,normal
2024-07-02,21,0.0,0.0,0.685,0.315,0.0,0.0,2.0,1.0,-0.3650738576979175,normal
2024-07-02,22,0.0,0.0,0.489,0.511,0.0,0.0,2.0,1.0,-0.2223029399364767,normal
2024-07-02,23,0.0,0.0,0.567,0.433,0.0,0.0,1.0,2.0,-0.2791199378211317,normal
2024-07-03,0,0.0,0.0,0.393,0.607,0.0,0.0,1.0,2.0,-0.1523743271553629,normal
2024-07-03,1,0.0,0.0,0.505,0.495,0.0,0.0,1.0,1.0,-0.233957708733329,normal
2024-07-03,2,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0,-0.193166017944346,normal
2024-07-03,3,0.0,0.0,0.974,0.026,0.0,0.0,1.0,1.0,-0.5755881190910622,normal
2024-07-03,4,0.118,0.0,0.672,0.21,1.0,0.0,4.0,4.0,-0.3414280668071753,normal
2024-07-03,5,0.039,0.0,0.744,0.216,1.0,0.0,2.0,1.0,-0.4034993291737558,normal
2024-07-03,6,0.0,0.0,0.43,0.57,0.0,0.0,1.0,1.0,-0.1793259799980839,normal
2024-07-03,7,0.052,0.079,0.869,0.0,1.0,1.0,2.0,0.0,-0.48343682248154,normal
2024-07-03,8,0.695,0.0,0.079,0.226,1.0,0.0,1.0,1.0,0.1598464631446713,normal
2024-07-03,9,0.203,0.0,0.039,0.757,1.0,0.0,1.0,1.0,0.1297415630045079,normal
2024-07-03,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2540339928012178,normal
2024-07-03,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2540339928012178,normal
2024-07-03,12,0.354,0.0,0.0,0.646,1.0,0.0,0.0,1.0,0.176424805147221,normal
2024-07-03,13,0.0,0.0,0.669,0.331,0.0,0.0,1.0,2.0,-0.3534190889010652,normal
2024-07-03,14,0.157,0.0,0.511,0.331,1.0,0.0,3.0,4.0,-0.2196004673262943,normal
2024-07-03,15,0.0,0.0,0.262,0.738,0.0,0.0,1.0,1.0,-0.0569509076311347,normal
2024-07-03,16,0.908,0.079,0.013,0.0,1.0,1.0,1.0,0.0,0.2429314886946734,normal
2024-07-03,17,0.784,0.216,0.0,0.0,1.0,1.0,0.0,0.0,0.2538392929683059,normal
2024-07-03,18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2531326046858848,normal
2024-07-03,19,0.052,0.082,0.275,0.59,2.0,1.0,2.0,2.0,-0.0505297168100097,normal
2024-07-03,20,0.695,0.0,0.118,0.187,1.0,0.0,1.0,1.0,0.1314379642023438,normal
2024-07-03,21,0.0,0.0,0.557,0.443,0.0,0.0,1.0,1.0,-0.2718357073230991,normal
2024-07-03,22,0.0,0.0,0.308,0.692,0.0,0.0,1.0,1.0,-0.090458367922085,normal
2024-07-03,23,0.63,0.0,0.118,0.252,2.0,0.0,3.0,3.0,0.1236289902123905,normal
2024-07-04,0,0.0,0.0,0.803,0.197,0.0,0.0,1.0,1.0,-0.4510277775747033,normal
2024-07-04,1,0.0,0.0,0.685,0.315,0.0,0.0,2.0,1.0,-0.3650738576979175,normal
2024-07-04,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5945271183859473,normal
