Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad,nivel_estres
2024-07-02,0,0.039,0.0,0.449,0.511,1.0,0.0,2.0,1.0,-0.221229698414933,normal
2024-07-02,1,0.0,0.0,0.652,0.348,0.0,0.0,1.0,1.0,-0.1440338057610738,normal
2024-07-02,2,0.0,0.0,0.679,0.321,0.0,0.0,1.0,1.0,-0.1295900815780439,normal
2024-07-02,3,0.0,0.0,0.41,0.59,0.0,0.0,2.0,1.0,-0.273492370660823,normal
2024-07-02,4,0.079,0.0,0.918,0.003,1.0,0.0,1.0,1.0,0.0608694885546076,normal
2024-07-02,5,0.0,0.0,0.689,0.311,0.0,0.0,2.0,2.0,-0.1242405541028476,normal
2024-07-02,6,0.197,0.0,0.725,0.079,1.0,0.0,3.0,1.0,0.0506433408571182,normal
2024-07-02,7,0.839,0.118,0.043,0.0,1.0,1.0,1.0,0.0,0.3012358205196467,normal
2024-07-02,8,0.774,0.039,0.187,0.0,2.0,1.0,1.0,0.0,0.2556808062616855,normal
2024-07-02,9,0.0,0.0,0.607,0.393,0.0,0.0,2.0,1.0,-0.1681066793994569,normal
2024-07-02,10,0.259,0.0,0.741,0.0,2.0,0.0,2.0,0.0,0.1088291234535456,normal
2024-07-02,11,0.607,0.354,0.0,0.039,5.0,3.0,0.0,1.0,0.3067091180225854,normal
2024-07-02,12,0.197,0.157,0.197,0.449,2.0,1.0,1.0,1.0,-0.0900644835942505,normal
2024-07-02,13,0.079,0.039,0.308,0.574,1.0,1.0,3.0,2.0,-0.2303630140155984,normal
2024-07-02,14,0.0,0.0,0.567,0.433,0.0,0.0,2.0,1.0,-0.1895047893002419,normal
2024-07-02,15,0.157,0.105,0.344,0.393,1.0,2.0,2.0,2.0,-0.0894176759807223,normal
2024-07-02,16,0.948,0.052,0.0,0.0,1.0,1.0,0.0,0.0,0.3052322624506852,normal
2024-07-02,17,0.921,0.079,0.0,0.0,2.0,1.0,0.0,0.0,0.3081274802884975,normal
2024-07-02,18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2996562873556395,normal
2024-07-02,19,0.397,0.0,0.079,0.525,1.0,0.0,1.0,2.0,-0.1364402771406578,normal
2024-07-02,20,0.0,0.0,0.423,0.577,0.0,0.0,1.0,1.0,-0.2665379849430679,normal
2024-07-02,21,0.321,0.079,0.01,0.59,2.0,1.0,1.0,1.0,-0.1620105629360115,normal
2024-07-02,22,0.269,0.0,0.236,0.495,1.0,0.0,1.0,1.0,-0.1533972211988699,normal
2024-07-02,23,0.0,0.0,0.551,0.449,1.0,0.0,1.0,2.0,-0.1980640332605559,normal
2024-07-03,0,0.0,0.0,0.551,0.449,0.0,0.0,1.0,1.0,-0.1980640332605559,normal
2024-07-03,1,0.0,0.0,0.859,0.141,0.0,0.0,1.0,1.0,-0.0332985870245114,normal
2024-07-03,2,0.0,0.0,0.479,0.521,0.0,0.0,2.0,2.0,-0.2365806310819689,normal
2024-07-03,3,0.079,0.026,0.275,0.62,1.0,1.0,1.0,1.0,-0.2597126791560011,normal
2024-07-03,4,0.236,0.131,0.436,0.197,2.0,2.0,2.0,1.0,0.0453034662139106,normal
2024-07-03,5,0.0,0.0,0.567,0.433,0.0,0.0,2.0,1.0,-0.1895047893002419,normal
2024-07-03,6,0.118,0.0,0.61,0.272,1.0,0.0,2.0,1.0,-0.072989265585956,normal
2024-07-03,7,0.118,0.157,0.472,0.252,1.0,2.0,3.0,5.0,-0.0050655185046709,normal
2024-07-03,8,0.118,0.039,0.748,0.095,1.0,1.0,1.0,2.0,0.0359228869885174,normal
2024-07-03,9,0.557,0.0,0.157,0.285,2.0,0.0,1.0,2.0,0.0330683686800821,normal
2024-07-03,10,0.19,0.039,0.354,0.416,3.0,1.0,3.0,2.0,-0.1172971640531063,normal
2024-07-03,11,0.0,0.0,0.708,0.292,0.0,0.0,1.0,1.0,-0.1140764518999748,normal
2024-07-03,12,0.961,0.0,0.039,0.0,1.0,0.0,1.0,0.0,0.2896127524134241,normal
2024-07-03,13,0.102,0.0,0.308,0.59,1.0,0.0,2.0,1.0,-0.2472246638888748,normal
2024-07-03,14,0.275,0.039,0.557,0.128,1.0,1.0,3.0,2.0,0.0586589828758357,normal
2024-07-03,15,0.079,0.0,0.472,0.449,1.0,0.0,1.0,2.0,-0.1777194368391451,normal
2024-07-03,16,0.869,0.118,0.0,0.013,1.0,1.0,0.0,1.0,0.3020072309112881,normal
2024-07-03,17,0.961,0.039,0.0,0.0,2.0,1.0,0.0,0.0,0.3038382686769239,normal
2024-07-03,18,0.807,0.0,0.193,0.0,1.0,0.0,1.0,0.0,0.2499536657185219,normal
2024-07-03,19,0.118,0.013,0.082,0.787,1.0,1.0,2.0,1.0,-0.3437480918040629,normal
2024-07-03,20,0.118,0.026,0.236,0.62,1.0,1.0,1.0,1.0,-0.2496691442137857,normal
2024-07-03,21,0.0,0.0,0.551,0.449,0.0,0.0,1.0,2.0,-0.1980640332605559,normal
2024-07-03,22,0.102,0.0,0.63,0.269,1.0,0.0,1.0,1.0,-0.0754627021846995,normal
2024-07-03,23,0.37,0.354,0.157,0.118,3.0,2.0,3.0,2.0,0.2033719319539268,normal
2024-07-04,0,0.725,0.0,0.157,0.118,1.0,0.0,1.0,1.0,0.1657120654788557,normal
2024-07-04,1,0.298,0.0,0.308,0.393,1.0,0.0,2.0,1.0,-0.0914059011298273,normal
2024-07-04,2,0.0,0.0,0.636,0.364,0.0,0.0,1.0,1.0,-0.1525930497213878,normal
2024-07-04,3,0.0,0.0,0.931,0.069,0.0,0.0,1.0,1.0,0.0052180107969015,normal
2024-07-04,4,0.0,0.0,0.567,0.433,0.0,0.0,2.0,1.0,-0.1895047893002419,normal
2024-07-04,5,0.197,0.0,0.626,0.177,1.0,0.0,2.0,1.0,-0.0018241581501807,normal
2024-07-04,6,0.157,0.0,0.548,0.295,1.0,0.0,2.0,1.0,-0.0752496438366918,normal
2024-07-04,7,0.721,0.0,0.279,0.0,1.0,0.0,1.0,0.0,0.2278063835382519,normal
2024-07-04,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2996562873556395,normal
2024-07-04,9,0.993,0.0,0.007,0.0,1.0,0.0,1.0,0.0,0.2978536015967803,normal
2024-07-04,10,0.0,0.0,0.213,0.787,0.0,0.0,2.0,1.0,-0.3788780619221892,normal
2024-07-04,11,0.079,0.0,0.37,0.551,1.0,0.0,1.0,1.0,-0.2322846170861469,normal
2024-07-04,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2996562873556395,normal
2024-07-04,13,0.574,0.236,0.19,0.0,1.0,1.0,1.0,0.0,0.2760325938377461,normal
2024-07-04,14,0.0,0.0,0.41,0.59,0.0,0.0,2.0,1.0,-0.273492370660823,normal
2024-07-04,15,0.026,0.157,0.384,0.433,1.0,1.0,1.0,1.0,-0.1255422774574966,normal
2024-07-04,16,0.961,0.039,0.0,0.0,2.0,1.0,0.0,0.0,0.3038382686769239,normal
2024-07-04,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2996562873556395,normal
2024-07-04,18,0.256,0.0,0.351,0.393,3.0,0.0,2.0,2.0,-0.1021798859326066,normal
2024-07-04,19,0.157,0.052,0.043,0.748,2.0,1.0,1.0,2.0,-0.2986158834450824,normal
2024-07-04,20,0.0,0.026,0.305,0.669,0.0,1.0,2.0,1.0,-0.3062699602058736,normal
2024-07-04,21,0.0,0.0,0.561,0.439,0.0,0.0,1.0,1.0,-0.1927145057853596,normal
2024-07-04,22,0.0,0.0,0.495,0.505,0.0,0.0,1.0,1.0,-0.2280213871216549,normal
2024-07-04,23,0.0,0.0,0.41,0.59,0.0,0.0,2.0,2.0,-0.273492370660823,normal
2024-07-05,0,0.921,0.0,0.039,0.039,3.0,0.0,1.0,1.0,0.2584064040305876,peligro
2024-07-05,1,0.613,0.0,0.157,0.23,1.0,0.0,1.0,1.0,0.0769543856149107,peligro
2024-07-05,2,0.118,0.0,0.443,0.439,1.0,0.0,2.0,1.0,-0.1623263744217333,alerta
2024-07-05,3,0.0,0.0,0.528,0.472,0.0,0.0,2.0,1.0,-0.2103679464535073,normal
2024-07-05,4,0.0,0.0,0.564,0.436,0.0,0.0,1.0,1.0,-0.1911096475428008,normal
2024-07-05,5,0.0,0.079,0.649,0.272,0.0,1.0,2.0,2.0,-0.0745616075953135,normal
2024-07-05,6,0.0,0.0,0.764,0.236,0.0,0.0,2.0,1.0,-0.0841190980388758,normal
2024-07-05,7,0.643,0.157,0.161,0.039,1.0,1.0,1.0,1.0,0.2441229783818239,alerta
2024-07-05,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2996562873556395,peligro
2024-07-05,9,0.803,0.039,0.157,0.0,3.0,1.0,1.0,0.0,0.2631069460837265,peligro
