Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,activity_level,activity_level_2,Nivel_estres_1,Nivel_estres_2
2024-07-02,0,0.0,0.0,0.252,0.748,0.0,0.0,2.0,1.0,-0.0652379371566944,-0.4556253968960084,normal,normal
2024-07-02,1,0.0,0.0,0.534,0.466,0.0,0.0,1.0,1.0,-0.2648371307667775,-0.3387940316589002,normal,normal
2024-07-02,2,0.0,0.0,0.325,0.675,0.0,0.0,1.0,1.0,-0.1169072319564677,-0.3387940316589002,normal,normal
2024-07-02,3,0.0,0.0,0.344,0.656,0.0,0.0,1.0,1.0,-0.1303554045755867,-0.3387940316589002,normal,normal
2024-07-02,4,0.003,0.0,0.708,0.289,1.0,0.0,1.0,1.0,-0.3872374501479665,-0.2388545355733307,normal,normal
2024-07-02,5,0.233,0.0,0.767,0.0,2.0,0.0,2.0,0.0,-0.3709892752748915,-0.0337837383030773,normal,normal
2024-07-02,6,0.0,0.0,0.37,0.63,0.0,0.0,2.0,1.0,-0.1487581671070129,-0.4556253968960084,normal,normal
2024-07-02,7,0.879,0.0,0.121,0.0,1.0,0.0,1.0,0.0,0.2491762252619368,-0.0168918691515386,normal,normal
2024-07-02,8,0.892,0.0,0.108,0.0,1.0,0.0,1.0,0.0,0.2616563359538544,-0.0168918691515386,normal,normal
2024-07-02,9,0.0,0.0,0.836,0.164,0.0,0.0,1.0,1.0,-0.4785922955548808,-0.3387940316589002,normal,normal
2024-07-02,10,0.259,0.0,0.315,0.426,1.0,0.0,1.0,1.0,-0.0445068677992286,-0.2388545355733307,normal,normal
2024-07-02,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-02,12,0.826,0.0,0.079,0.095,1.0,0.0,1.0,1.0,0.2655366370750989,-0.2388545355733307,normal,normal
2024-07-02,13,0.433,0.0,0.151,0.416,2.0,0.0,2.0,1.0,0.1154566281805045,-0.2557464047248693,normal,normal
2024-07-02,14,0.049,0.0,0.439,0.511,1.0,0.0,2.0,2.0,-0.185351107133636,-0.5776485672322309,normal,normal
2024-07-02,15,0.252,0.0,0.511,0.236,3.0,0.0,2.0,1.0,-0.185113982334545,-0.1558069086392998,normal,normal
2024-07-02,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-02,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-02,18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-02,19,0.357,0.157,0.275,0.21,2.0,1.0,2.0,1.0,-0.0078062144571555,1.4234142169682062,normal,normal
2024-07-02,20,0.0,0.0,0.738,0.262,0.0,0.0,1.0,1.0,-0.4092280367825824,-0.3387940316589002,normal,normal
2024-07-02,21,0.125,0.0,0.167,0.708,1.0,0.0,2.0,1.0,0.0264511848326269,-0.3556859008104389,normal,normal
2024-07-02,22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-02,23,0.056,0.0,0.354,0.59,1.0,0.0,3.0,2.0,-0.1233096326363311,-0.6944799324693391,normal,normal
2024-07-03,0,0.0,0.0,0.472,0.528,0.0,0.0,1.0,1.0,-0.2209536201149153,-0.3387940316589002,normal,normal
2024-07-03,1,0.0,0.0,0.387,0.613,0.0,0.0,1.0,1.0,-0.1607907426083299,-0.3387940316589002,normal,normal
2024-07-03,2,0.0,0.0,0.607,0.393,0.0,0.0,2.0,1.0,-0.3165064255665509,-0.4556253968960084,normal,normal
2024-07-03,3,0.0,0.0,0.331,0.669,0.0,0.0,2.0,1.0,-0.1211540233098737,-0.4556253968960084,normal,normal
2024-07-03,4,0.161,0.0,0.643,0.197,1.0,0.0,1.0,1.0,-0.3012682434935366,-0.2388545355733307,normal,normal
2024-07-03,5,0.154,0.0,0.807,0.039,3.0,0.0,3.0,1.0,-0.4192258041440209,-0.272638273876408,normal,normal
2024-07-03,6,0.0,0.0,0.256,0.744,0.0,0.0,1.0,1.0,-0.0680691313922984,-0.3387940316589002,normal,normal
2024-07-03,7,0.289,0.0,0.354,0.357,1.0,0.0,2.0,2.0,-0.0645447129205111,-0.5776485672322309,normal,normal
2024-07-03,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-03,9,0.285,0.0,0.708,0.007,1.0,0.0,1.0,1.0,-0.3161142425949141,-0.2388545355733307,normal,normal
2024-07-03,10,0.692,0.0,0.157,0.151,1.0,0.0,1.0,1.0,0.1765322153953275,-0.2388545355733307,normal,normal
2024-07-03,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-03,12,0.787,0.0,0.079,0.134,1.0,0.0,1.0,1.0,0.2557004487964853,-0.2388545355733307,normal,normal
2024-07-03,13,0.898,0.0,0.0,0.102,1.0,0.0,0.0,1.0,0.3396118400503342,-0.1220231703362225,normal,normal
2024-07-03,14,0.489,0.118,0.157,0.236,2.0,1.0,1.0,1.0,0.1131467216682814,1.5402455822053145,normal,normal
2024-07-03,15,0.03,0.0,0.472,0.498,1.0,0.0,1.0,1.0,-0.2133873214390586,-0.2388545355733307,normal,normal
2024-07-03,16,0.908,0.0,0.079,0.013,2.0,0.0,1.0,1.0,0.2862178534557738,-0.1389150394877611,normal,normal
2024-07-03,17,0.961,0.0,0.039,0.0,2.0,0.0,1.0,0.0,0.327896923472494,0.0830476269340308,normal,normal
2024-07-03,18,0.807,0.0,0.193,0.0,1.0,0.0,1.0,0.0,0.1800556121990086,-0.0168918691515386,normal,normal
2024-07-03,19,0.0,0.0,0.252,0.748,0.0,0.0,2.0,1.0,-0.0652379371566944,-0.4556253968960084,normal,normal
2024-07-03,20,0.0,0.0,0.498,0.502,0.0,0.0,3.0,3.0,-0.2393563826463414,-1.0163820949767006,normal,normal
2024-07-03,21,0.0,0.0,0.518,0.482,0.0,0.0,2.0,2.0,-0.2535123538243615,-0.6775880633178004,normal,normal
2024-07-03,22,0.0,0.0,0.584,0.416,0.0,0.0,1.0,1.0,-0.3002270587118277,-0.3387940316589002,normal,normal
2024-07-03,23,0.433,0.0,0.0,0.567,1.0,0.0,1.0,1.0,0.2223342105745561,-0.2388545355733307,normal,normal
2024-07-04,0,0.236,0.0,0.292,0.472,2.0,0.0,3.0,2.0,-0.0340283299293289,-0.5945404363837696,normal,normal
2024-07-04,1,0.0,0.0,0.692,0.308,0.0,0.0,1.0,1.0,-0.3766693030731362,-0.3387940316589002,normal,normal
2024-07-04,2,0.0,0.0,0.482,0.518,0.0,0.0,1.0,1.0,-0.2280316057039253,-0.3387940316589002,normal,normal
2024-07-04,3,0.0,0.0,0.62,0.38,0.0,0.0,1.0,1.0,-0.3257078068322639,-0.3387940316589002,normal,normal
2024-07-04,4,0.0,0.0,0.472,0.528,0.0,0.0,1.0,2.0,-0.2209536201149153,-0.5607566980806922,normal,normal
2024-07-04,5,0.236,0.0,0.452,0.311,1.0,0.0,1.0,1.0,-0.147389226653176,-0.2388545355733307,normal,normal
2024-07-04,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5946712592146455,-0.1168313652371081,normal,normal
2024-07-04,7,0.643,0.0,0.357,0.0,1.0,0.0,1.0,0.0,0.0226142157778942,-0.0168918691515386,normal,normal
2024-07-04,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-04,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
