Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,activity_level,activity_level_2
2024-01-01,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0573052581659192,-0.0749284011076865
2024-01-01,1,0.669,0.039,0.292,0.0,2.0,1.0,2.0,0.0,0.2352286707306239,1.5374710712262551
2024-01-01,2,0.0,0.0,0.095,0.905,0.0,0.0,2.0,1.0,-0.4504420074326185,-0.461542295221901
2024-01-01,3,0.0,0.0,0.502,0.498,0.0,0.0,1.0,1.0,-0.2220959995888562,-0.3866138941142144
2024-01-01,4,0.0,0.0,0.948,0.052,0.0,0.0,1.0,1.0,0.0281308296453403,-0.3866138941142144
2024-01-01,5,0.079,0.0,0.587,0.334,1.0,0.0,2.0,1.0,-0.1105970022913647,-0.255088784475018
2024-01-01,6,0.154,0.0,0.669,0.177,1.0,0.0,1.0,1.0,-0.0040120325742672,-0.1801603833673314
2024-01-01,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3039804242064756,0.206453510746883
2024-01-01,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3039804242064756,0.206453510746883
2024-01-01,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3039804242064756,0.206453510746883
2024-01-01,10,0.308,0.0,0.118,0.574,1.0,0.0,1.0,1.0,-0.1887595978245956,-0.1801603833673314
2024-01-01,11,0.511,0.0,0.275,0.213,1.0,0.0,2.0,2.0,0.0637960151605676,-0.5667742774815459
2024-01-01,12,0.803,0.0,0.0,0.197,1.0,0.0,0.0,1.0,0.1448592161396772,-0.1052319822596449
2024-01-01,13,0.141,0.0,0.079,0.78,1.0,0.0,1.0,1.0,-0.3455299712310468,-0.1801603833673314
2024-01-01,14,0.157,0.079,0.482,0.282,2.0,1.0,2.0,2.0,-0.0360557469170011,0.9141000852131992
2024-01-01,15,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0,-0.251831474811754,-0.461542295221901
2024-01-01,16,0.436,0.039,0.525,0.0,2.0,1.0,1.0,0.0,0.1777533570431743,1.6123994723339417
2024-01-01,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3039804242064756,0.206453510746883
2024-01-01,18,0.57,0.079,0.311,0.039,3.0,2.0,3.0,1.0,0.2020981400630574,2.6317315398067858
2024-01-01,19,0.039,0.0,0.331,0.63,1.0,0.0,2.0,2.0,-0.2865338328193595,-0.5667742774815459
2024-01-01,20,0.0,0.0,0.498,0.502,0.0,0.0,1.0,1.0,-0.2243401863981315,-0.3866138941142144
2024-01-01,21,0.0,0.0,0.669,0.331,0.0,0.0,1.0,2.0,-0.1284012003016122,-0.6982993871207424
2024-01-01,22,0.0,0.0,0.393,0.607,0.0,0.0,1.0,2.0,-0.2832500901416083,-0.6982993871207424
2024-01-01,23,0.0,0.0,0.354,0.646,0.0,0.0,1.0,2.0,-0.3051309115320425,-0.6982993871207424
2024-01-02,0,0.685,0.0,0.0,0.315,1.0,0.0,0.0,1.0,0.0495480356732701,-0.1052319822596449
2024-01-02,1,0.023,0.0,0.669,0.308,1.0,0.0,1.0,1.0,-0.1098235973293464,-0.1801603833673314
2024-01-02,2,0.0,0.0,0.954,0.046,0.0,0.0,1.0,1.0,0.0314971098592532,-0.3866138941142144
2024-01-02,3,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0,-0.251831474811754,-0.461542295221901
2024-01-02,4,0.0,0.0,0.331,0.669,0.0,0.0,2.0,1.0,-0.3180349856853755,-0.461542295221901
2024-01-02,5,0.157,0.039,0.803,0.0,2.0,1.0,2.0,0.0,0.1088736804596931,1.5374710712262551
2024-01-02,6,0.039,0.0,0.961,0.0,1.0,0.0,2.0,0.0,0.0669255896415009,0.0565967085315099
2024-01-02,7,0.957,0.0,0.043,0.0,1.0,0.0,1.0,0.0,0.2933733920667317,0.1315251096391964
2024-01-02,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3039804242064756,0.206453510746883
2024-01-02,9,0.803,0.0,0.118,0.079,2.0,0.0,1.0,1.0,0.2110627270132987,0.0262931273795515
2024-01-02,10,0.741,0.0,0.118,0.141,1.0,0.0,1.0,1.0,0.160983971175017,-0.1801603833673314
2024-01-02,11,0.0,0.0,0.511,0.489,0.0,0.0,1.0,1.0,-0.2170465792679867,-0.3866138941142144
2024-01-02,12,0.41,0.0,0.315,0.275,1.0,0.0,1.0,1.0,0.0041542331048701,-0.1801603833673314
2024-01-02,13,0.338,0.236,0.393,0.033,3.0,1.0,2.0,1.0,0.2002147038834934,1.43223908896661
2024-01-02,14,0.0,0.0,0.325,0.675,0.0,0.0,1.0,1.0,-0.3214012658992885,-0.3866138941142144
2024-01-02,15,0.892,0.079,0.03,0.0,2.0,1.0,1.0,0.0,0.3035229754348826,1.6123994723339417
2024-01-02,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3039804242064756,0.206453510746883
2024-01-02,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3039804242064756,0.206453510746883
2024-01-02,18,0.374,0.197,0.079,0.351,1.0,2.0,1.0,1.0,0.0178417372981601,2.3686813205283928
2024-01-02,19,0.039,0.0,0.433,0.528,1.0,0.0,1.0,2.0,-0.2293070691828393,-0.4918458763738593
2024-01-02,20,0.079,0.0,0.157,0.764,1.0,0.0,1.0,2.0,-0.35184708428846,-0.4918458763738593
2024-01-02,21,0.0,0.0,0.59,0.41,0.0,0.0,1.0,2.0,-0.1727238897847994,-0.6982993871207424
2024-01-02,22,0.0,0.0,0.433,0.567,0.0,0.0,1.0,2.0,-0.2608082220488552,-0.6982993871207424
2024-01-02,23,0.354,0.0,0.315,0.331,1.0,0.0,1.0,2.0,-0.0410781915232552,-0.4918458763738593
2024-01-03,0,0.236,0.079,0.433,0.252,2.0,1.0,2.0,2.0,0.0002629922697675,0.9141000852131992
2024-01-03,1,0.315,0.157,0.348,0.18,4.0,2.0,3.0,1.0,0.0859411459210719,2.838185050553669
2024-01-03,2,0.0,0.0,0.41,0.59,0.0,0.0,2.0,1.0,-0.2737122962021882,-0.461542295221901
2024-01-03,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0573052581659192,-0.0749284011076865
2024-01-03,4,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0,-0.251831474811754,-0.461542295221901
2024-01-03,5,0.0,0.118,0.862,0.02,0.0,1.0,2.0,1.0,0.0851082145057364,0.8128785567259611
2024-01-03,6,0.0,0.0,0.469,0.531,0.0,0.0,1.0,1.0,-0.2406105407653775,-0.3866138941142144
